SPR_f_LONDON,'-3036801523484081052,1039543
SPR_f_LONDON,'-3036801520006212206,1039543
SPR_f_LOLLIPOP,'-3036801314194825510,1039498
SPR_f_LOLLIPOP,'-3036801226355346884,1039498
SPR_f_LOLLIPOP,'-3034041093946754941,1039498
SPR_f_LOLLIPOP,'-3034041161575034514,1039498
SPR_f_LOLITA,'-3037091865128028841,1039465
SPR_f_LOLITA,'-3037091821147678001,1039465
SPR_f_LOLITA,'-3037091944776404852,1039465
SPR_f_LOLITA,'-3037077949740932930,1039465
SPR_f_LOLITA,'-3037091905199642724,1039465
SPR_f_LOLITA,'-3037091777036003616,1039465
SPR_f_LAVISH,'-3037051542007056339,1039343
SPR_f_LARAMIE,'-3036801403315700614,1039326
SPR_f_LARAMIE,'-3036801494091892793,1039326
SPR_f_LAMAY,'-3037051606973123167,1039293
SPR_f_LAMAY,'-3037051730811059190,1039293
SPR_f_LAMAY,'-3037051668898205113,1039293
SPR_f_LAMAY,'-3037051791086310248,1039293
SPR_f_KYLA,'-3036687186587105805,1039245
SPR_f_KISMET,'-3036800075284560340,1039187
SPR_f_KISMET,'-3036799721096082547,1039187
SPR_f_KEESHA,'-3034013339582909639,1039122
SPR_f_KEESHA,'-3034013258069804032,1039122
SPR_f_KEESHA,'-3034013113062411226,1039122
SPR_f_KEESHA,'-3034013446357145603,1039122
SPR_f_KEESHA,'-3034013376651573395,1039122
SPR_f_KAYLEE,'-3034013869115419787,1039074
SPR_f_KAYLEE,'-3034013585265113831,1039074
SPR_f_KAYLEE,'-3034014469105529094,1039074
SPR_f_KAYLANA,'-3034014473467067643,1039034
SPR_f_KAYLANA,'-3034015942892700124,1039034
SPR_f_KAYLANA,'-3034015919386480868,1039034
SPR_f_KAYLANA,'-3034016601808743691,1039034
SPR_f_KATIMA,'-3034017449502302619,1038986
SPR_f_KATIMA,'-3034016602891586607,1038986
SPR_f_KATIMA,'-3034017132072461267,1038986
SPR_f_KATIMA,'-3034016867050396050,1038986
SPR_f_JOSIE,'-3036799871306333657,1038881
SPR_f_JOSIE,'-3036687497253163680,1038881
SPR_f_JOSIE,'-3036799830870767462,1038881
SPR_f_JOSIE,'-3036801445791761584,1038881
SPR_f_JOLLY,'-3036799878462703903,1038848
SPR_f_JOLLY,'-3036801525460370977,1038848
SPR_f_JOLLY,'-3036687573140575258,1038848
SPR_f_JAILYN,'-3034017957277624431,1038737
SPR_f_IVANA,'-3034041352414073240,1038729
SPR_f_IVANA,'-3034041304073818278,1038729
SPR_f_IVANA,'-3034041262280782037,1038729
SPR_f_ISLA,'-3034041551099780992,1038704
SPR_f_ISLA,'-3034041455519217512,1038704
SPR_f_ISLA,'-3034041396607177796,1038704
